"Species","EEZ","p2","p4","Average","Max"
"Salmo trutta","Belgian Exclusive Economic Zone",0.0714285714285714,0,0.623370478090105,2.12605378757717
"Salmo trutta","Bulgarian Exclusive Economic Zone",0.75,0.178571428571429,2.86675404179084,5.7294817187673
"Salmo trutta","Danish Exclusive Economic Zone",0.58005249343832,0.041994750656168,2.28645699907014,4.72819039896098
"Salmo trutta","Dutch Exclusive Economic Zone",0.139896373056995,0,1.03827308919247,3.78594099725583
"Salmo trutta","Estonian Exclusive Economic Zone",1,0.288288288288288,3.56893701470352,5.23526586912769
"Salmo trutta","Faeroe Exclusive Economic Zone",0,0,0.117140859986322,0.395378381542541
"Salmo trutta","Finnish Exclusive Economic Zone",0.702325581395349,0.0744186046511628,2.41626954042172,4.50933799759822
"Salmo trutta","French Exclusive Economic Zone",0.0933852140077821,0.00972762645914397,0.693919046005501,5.84504359986115
"Salmo trutta","Georgian Exclusive Economic Zone",1,1,6.79109086822765,8.2923610758136
"Salmo trutta","German Exclusive Economic Zone",0.48689138576779,0.0823970037453183,2.11409622927163,6.18017084608866
"Salmo trutta","Greek Exclusive Economic Zone",0.5,0.5,5.10837743174057,8.2923610758136
"Salmo trutta","Guernsey Exclusive Economic Zone",0,0,0.115983216968415,0.584495314686883
"Salmo trutta","Icelandic Exclusive Economic Zone",0,0,0.104381503283689,0.762743118379382
"Salmo trutta","Irish Exclusive Economic Zone",0.0158102766798419,0,0.126027004656903,2.3633381776347
"Salmo trutta","Italian Exclusive Economic Zone",0.2,0,1.40265355173551,3.72479508946428
"Salmo trutta","Jersey Exclusive Economic Zone",0,0,1.03830510093786,1.64246097235756
"Salmo trutta","Joint regime area Italy / France",0,0,0.395364861720591,0.395364861720591
"Salmo trutta","Joint regime area Sweden / Norway",1,0,2.34117039479875,2.44156584952872
"Salmo trutta","Latvian Exclusive Economic Zone",1,0.339622641509434,3.93423933083307,5.59176360812225
"Salmo trutta","Lithuanian Exclusive Economic Zone",1,0.666666666666667,4.29460029048072,5.51105531753228
"Salmo trutta","Monégasque Exclusive Economic Zone",0.5,0,2.42446677107553,3.07174236237698
"Salmo trutta","Norwegian Exclusive Economic Zone",0.426444833625219,0.0551663747810858,1.72077471496527,5.59176360812225
"Salmo trutta","Overlapping claim Ukrainian Exclusive Economic Zone",0.761538461538461,0.592307692307692,4.17165316232411,8.2923610758136
"Salmo trutta","Polish Exclusive Economic Zone",1,0.186915887850467,3.63886408093042,6.65677182852282
"Salmo trutta","Portuguese Exclusive Economic Zone",0.0384615384615385,0,1.07783702494027,2.06719661952248
"Salmo trutta","Romanian Exclusive economic Zone",0.566666666666667,0.433333333333333,3.80949834516771,8.2923610758136
"Salmo trutta","Russian Exclusive economic Zone",0.635568513119534,0.295918367346939,2.94531439224849,8.2923610758136
"Salmo trutta","Spanish Exclusive Economic Zone",0.147619047619048,0.0238095238095238,0.868074429058679,5.84504359986115
"Salmo trutta","Swedish Exclusive Economic Zone",0.752702702702703,0.110810810810811,2.71944397630715,5.59176360812225
"Salmo trutta","Turkish Exclusive Economic Zone",0.978142076502732,0.901639344262295,5.99136566650269,8.2923610758136
"Salmo trutta","United Kingdom Exclusive Economic Zone",0.0137524557956778,0,0.306803914972191,3.26187397355314
