"Species","EEZ","p2","p4","Average","Max"
"Sciaenops ocellatus","Aruban Exclusive Economic Zone",1,0,3.13159349118207,3.24075854083482
"Sciaenops ocellatus","Bahamas Exclusive Economic Zone",0.928327645051195,0.873720136518771,5.08366832981763,6.74070236190532
"Sciaenops ocellatus","Barbados Exclusive Economic Zone",1,1,4.35770145590138,4.52113280010756
"Sciaenops ocellatus","Belizean Exclusive Economic Zone",1,1,7.04376967034805,7.20763440278077
"Sciaenops ocellatus","Brazilian Exclusive Economic Zone",0.888888888888889,0.422222222222222,4.1835699088753,8.2923610758136
"Sciaenops ocellatus","Colombian Exclusive Economic Zone",0.982608695652174,0.617391304347826,4.82999762202886,7.90568999600589
"Sciaenops ocellatus","Costa Rican Exclusive Economic Zone",1,1,5.82544598552552,6.40734231429279
"Sciaenops ocellatus","Cuban Exclusive Economic Zone",1,0.981132075471698,5.9595249879974,7.75591664900571
"Sciaenops ocellatus","Curaçaoan Exclusive Economic Zone",1,0,3.56228134813121,3.64437733098208
"Sciaenops ocellatus","French Guiana Exclusive Economic Zone",0.638095238095238,0.104761904761905,2.42434334000475,4.38500301740349
"Sciaenops ocellatus","Grenadian Exclusive Economic Zone",0.954545454545455,0.545454545454545,3.7677183431426,4.39884927628806
"Sciaenops ocellatus","Guyanese Exclusive Economic Zone",0.988372093023256,0.244186046511628,3.52858453753288,5.70740594362102
"Sciaenops ocellatus","Honduran Exclusive Economic Zone",1,1,7.04376967034805,7.20763440278077
"Sciaenops ocellatus","Mexican Exclusive Economic Zone",0.950354609929078,0.730496453900709,4.99929320956066,8.2923610758136
"Sciaenops ocellatus","Nicaraguan Exclusive Economic Zone",1,1,6.02277309461473,6.51159726822528
"Sciaenops ocellatus","Panamanian Exclusive Economic Zone",0.945945945945946,0.945945945945946,6.30053479371317,7.68389645497725
"Sciaenops ocellatus","Saint Vincent and the Grenadines Exclusive Economic Zone",1,1,4.26880355384897,4.39884927628806
"Sciaenops ocellatus","Surinamese Exclusive Economic Zone",0.645454545454546,0.0272727272727273,2.26793265570857,4.76851134130595
"Sciaenops ocellatus","Trinidad and Tobago Exclusive Economic Zone",1,0.5,3.95609112295138,4.52113280010756
"Sciaenops ocellatus","United States Exclusive Economic Zone",0.435550935550936,0.234927234927235,2.26698192687418,6.74070236190532
"Sciaenops ocellatus","Venezuelan Exclusive Economic Zone",0.753424657534247,0.232876712328767,2.94698907688012,6.67609652795279
