"Species","EEZ","p2","p4","Average","Max"
"Scomber japonicus","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.00137423778334226,0.00829358970945357
"Scomber japonicus","Australian Exclusive Economic Zone",0.460654671580316,0.176674615217863,1.83521310865227,6.63102666274269
"Scomber japonicus","Bahraini Exclusive Economic Zone",1,1,6.86822288021489,7.35397227975718
"Scomber japonicus","Bassas da India Exclusive Economic Zone",0,0,0.120234043774461,0.337380279775057
"Scomber japonicus","Bruneian Exclusive Economic Zone",1,0.0595238095238095,3.41059543669093,5.44243915359802
"Scomber japonicus","Cambodian Exclusive Economic Zone",0.504854368932039,0,1.90653390960108,3.62672004064357
"Scomber japonicus","Canadian Exclusive Economic Zone",0.00379939209726444,0,0.360272884908247,2.70042384384347
"Scomber japonicus","Chagos Archipelago Exclusive Economic Zone",1,1,4.75879292884221,5.30595949337457
"Scomber japonicus","Chilean Exclusive Economic Zone",0.0020997375328084,0,0.133382864724124,2.42426704377804
"Scomber japonicus","Chinese Exclusive Economic Zone",0.194966040751099,0.034358769476628,1.13230822251921,8.2923610758136
"Scomber japonicus","Christmas Island Exclusive Economic Zone",0,0,1.13953514222572,1.18314816572733
"Scomber japonicus","Colombian Exclusive Economic Zone",0,0,0.047032564260773,0.912642717955394
"Scomber japonicus","Comoran Exclusive Economic Zone",0.153846153846154,0,1.80255849570651,2.0653905399709
"Scomber japonicus","Costa Rican Exclusive Economic Zone",0,0,0.0776698747310422,1.24901998159506
"Scomber japonicus","Djiboutian Exclusive Economic Zone",1,1,8.28859630653122,8.2923610758136
"Scomber japonicus","East Timorian Exclusive Economic Zone",1,0.533783783783784,4.0649016087586,4.59815009677488
"Scomber japonicus","Ecuadorian Exclusive Economic Zone",0.00292397660818713,0,0.0305600100540908,2.23049083112786
"Scomber japonicus","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0460956237942276,1.25535958350286
"Scomber japonicus","Egyptian Exclusive Economic Zone",1,0.25,3.38552219522387,4.12419361769802
"Scomber japonicus","El Salvador Exclusive Economic Zone",0,0,0.524199519838848,1.49427567339752
"Scomber japonicus","Eritrean Exclusive Economic Zone",1,1,8.28821982960299,8.2923610758136
"Scomber japonicus","Fijian Exclusive Economic Zone",0.367895280744058,0.141405442645539,1.55592324375032,8.2923610758136
"Scomber japonicus","French Polynesian Exclusive Economic Zone",0,0,0.553706386707887,1.9426732029345
"Scomber japonicus","Guatemalan Exclusive Economic Zone",0,0,0.811008086329689,1.72696732385462
"Scomber japonicus","Honduran Exclusive Economic Zone",0,0,1.29503786214416,1.49427567339752
"Scomber japonicus","Howland and Baker Islands Exclusive Economic Zone",1,1,5.74005118967462,5.89341206521479
"Scomber japonicus","Ile Europa Exclusive Economic Zone",0,0,0.110889697480175,0.337380279775057
"Scomber japonicus","Indian Exclusive Economic Zone",0.936123348017621,0.774229074889868,5.09612955548215,7.35891773159668
"Scomber japonicus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.710526315789474,0.0657894736842105,2.32350532857036,4.39007925408606
"Scomber japonicus","Indonesian Exclusive Economic Zone",0.893055347232638,0.379031048447578,3.68355470601387,8.2923610758136
"Scomber japonicus","Iranian Exclusive Economic Zone",0.990909090909091,0.972727272727273,7.67706863009798,8.2923610758136
"Scomber japonicus","Japanese Exclusive Economic Zone",0.0507894736842105,0.00526315789473684,0.582153692776444,6.46802592854365
"Scomber japonicus","Jarvis Island Exclusive Economic Zone",1,0.153846153846154,2.8837326149229,4.3940938106336
"Scomber japonicus","Joint regime area Australia / Papua New Guinea",0.166666666666667,0,1.75538036987344,2.0091916628064
"Scomber japonicus","Joint regime area Costa Rica / Ecuador (Galapagos)",0,0,0.234979696168731,0.245624773863477
"Scomber japonicus","Joint regime area Ecuador / Colombia",0,0,0.0235228522551394,0.0583737297825737
"Scomber japonicus","Joint regime area Japan / Korea",0,0,0.293014468160501,1.11373639721655
"Scomber japonicus","Joint regime area Peru / Ecuador",0,0,0.0413626947698795,0.283707856266955
"Scomber japonicus","Joint regime area United States / Russia",0.00564971751412429,0,0.372256512742203,2.70042384384347
"Scomber japonicus","Juan de Nova Exclusive Economic Zone",0.80952380952381,0,2.07058714565298,2.39576244257444
"Scomber japonicus","Kenyan Exclusive Economic Zone",0,0,0.458401438644281,1.46261647581366
"Scomber japonicus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.569160130093744,0.369810598813851,2.6817472452111,8.2923610758136
"Scomber japonicus","Kiribati Exclusive Economic Zone (Line Islands)",0.777777777777778,0.0740740740740741,2.44650308296804,4.3940938106336
"Scomber japonicus","Kiribati Exclusive Economic Zone (Phoenix Islands)",1,1,5.8312730420364,5.89341206521479
"Scomber japonicus","Kuwaiti Exclusive Economic Zone",0.666666666666667,0,2.1636239487864,2.48200694479492
"Scomber japonicus","Madagascan Exclusive Economic Zone",0.248686514886165,0.0227670753064799,1.21487539196182,5.04739435753589
"Scomber japonicus","Malaysian Exclusive Economic Zone",0.656227758007117,0.233451957295374,2.82551418568338,7.54576488188528
"Scomber japonicus","Maldives Exclusive Economic Zone",1,1,5.83109577732437,6.34825012981026
"Scomber japonicus","Marshall Islands Exclusive Economic Zone",1,0.891304347826087,4.803399230813,5.64697484984544
"Scomber japonicus","Mauritian Exclusive Economic Zone",0.793103448275862,0,2.14649769689402,3.50230944438208
"Scomber japonicus","Mexican Exclusive Economic Zone",0.043155765340526,0,0.398197239921153,3.06674265723375
"Scomber japonicus","Micronesian Exclusive Economic Zone",1,1,5.38216223115134,6.53454609944091
"Scomber japonicus","Mozambican Exclusive Economic Zone",0.0285714285714286,0,0.481294691639803,2.2625870130692
"Scomber japonicus","Myanmar Exclusive Economic Zone",0.310344827586207,0,1.37820769173332,3.4614827293326
"Scomber japonicus","Nauruan Exclusive Economic Zone",1,1,6.09318783052202,6.39053102918795
"Scomber japonicus","New Caledonian Exclusive Economic Zone",0,0,0.154246221780352,1.96878045307013
"Scomber japonicus","New Zealand Exclusive Economic Zone",0.00419287211740042,0,0.0884520605363631,3.77096813251471
"Scomber japonicus","Nicaraguan Exclusive Economic Zone",0,0,0.316777638414342,1.49427567339752
"Scomber japonicus","Norfolk Island Exclusive Economic Zone",0,0,0.0750834319220662,0.188371041720463
"Scomber japonicus","North Korean Exclusive Economic Zone",0.128888888888889,0.0311111111111111,0.888668018501654,6.46802592854365
"Scomber japonicus","Oecussi Ambeno Exclusive Economic Zone",1,0,2.53982706978894,2.65136885925043
"Scomber japonicus","Omani Exclusive Economic Zone",0.711206896551724,0.59051724137931,4.96924204860674,8.2923610758136
"Scomber japonicus","Overlapping claim Glorioso Islands: France / Madagascar",0.162162162162162,0,1.32591282531494,2.73439756620705
"Scomber japonicus","Overlapping claim Kuril Islands: Japan / Russia",0.0982142857142857,0,0.944145830921599,2.56933962199904
"Scomber japonicus","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.242157271745837,0.317766625840296
"Scomber japonicus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.00119382314523985,0.00161132176169332
"Scomber japonicus","Overlapping claim Mayotte: France / Comoros",0.162162162162162,0,1.8083585025156,2.0653905399709
"Scomber japonicus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.253961760678416,1.16928429024928
"Scomber japonicus","Overlapping claim South China Sea",0.371559633027523,0.0596330275229358,1.65265478861746,6.07400714761708
"Scomber japonicus","Overlapping claim: Kenya / Somalia",0,0,0.526860204353247,0.726392059861162
"Scomber japonicus","Pakistani Exclusive Economic Zone",0.916030534351145,0.687022900763359,4.69082166594888,6.69064874960459
"Scomber japonicus","Palau Exclusive Economic Zone",1,1,4.90877472039294,4.99885054798747
"Scomber japonicus","Palmyra Atoll Exclusive Economic Zone",1,0,2.37307247461029,2.49650882449167
"Scomber japonicus","Panamanian Exclusive Economic Zone",0,0,0.0549252838702758,0.83098714936251
"Scomber japonicus","Papua New Guinean Exclusive Economic Zone",0.847100175746924,0.466608084358524,3.599219568452,6.53454609944091
"Scomber japonicus","Peruvian Exclusive Economic Zone",0.0761266747868453,0.0462850182704019,0.470174310691682,8.2923610758136
"Scomber japonicus","Philippines Exclusive Economic Zone",0.834959694526941,0.573610521849809,3.78873939828912,7.87784823655733
"Scomber japonicus","Qatari Exclusive Economic Zone",1,1,6.86822288021489,7.35397227975718
"Scomber japonicus","Russian Exclusive economic Zone",0.0122583686940123,0,0.396712012931189,2.70042384384347
"Scomber japonicus","Saudi Arabian Exclusive Economic Zone",0.833333333333333,0.5,4.51592341450064,7.35397227975718
"Scomber japonicus","Seychellois Exclusive Economic Zone",0.633136094674556,0.414201183431953,3.07374100527842,4.9936347231465
"Scomber japonicus","Solomon Islands Exclusive Economic Zone",0.964028776978417,0.964028776978417,5.30658331590869,5.84110704022919
"Scomber japonicus","Somali Exclusive Economic Zone",0.688725490196078,0.495098039215686,4.35221109083846,8.2923610758136
"Scomber japonicus","South African Exclusive Economic Zone",0,0,0.00108031818485707,0.0306074439115929
"Scomber japonicus","South Korean Exclusive Economic Zone",0.0677808727948004,0.00649953574744661,0.81248852309192,6.46802592854365
"Scomber japonicus","Sri Lankan Exclusive Economic Zone",0.96969696969697,0.636363636363636,4.59131269814962,7.35891773159668
"Scomber japonicus","Taiwanese Exclusive Economic Zone",0.23589164785553,0.0124153498871332,1.06440727563247,4.48253172306191
"Scomber japonicus","Tanzanian Exclusive Economic Zone",0.138613861386139,0.0099009900990099,1.47876411188854,4.1173119271576
"Scomber japonicus","Thailand Exclusive Economic Zone",0.645360824742268,0.0762886597938144,2.30723502765483,6.60189489456314
"Scomber japonicus","Tongan Exclusive Economic Zone",0,0,0.278448830093024,1.01947797996765
"Scomber japonicus","Tuvaluan Exclusive Economic Zone",0.594836750189825,0.2,2.36947847338194,8.2923610758136
"Scomber japonicus","United Arab Emirates Exclusive Economic Zone",1,1,8.28929348602796,8.2923610758136
"Scomber japonicus","United States Exclusive Economic Zone",0.00333333333333333,0,0.215517948864531,3.6834186717813
"Scomber japonicus","United States Exclusive Economic Zone (Alaska)",0.00512163892445583,0,0.370854957535205,2.70042384384347
"Scomber japonicus","United States Exclusive Economic Zone (Hawaii)",0.230330672748005,0.12018244013683,1.32254870970138,8.2923610758136
"Scomber japonicus","Vanuatu Exclusive Economic Zone",0,0,0.223156515090103,1.96878045307013
"Scomber japonicus","Vietnamese Exclusive Economic Zone",0.0741127348643006,0.011482254697286,0.715800761124885,5.90566013458611
"Scomber japonicus","Wallis and Futuna Exclusive Economic Zone",0.568174422388545,0.222909209241783,2.30871401109532,8.2923610758136
"Scomber japonicus","Yemeni Exclusive Economic Zone",0.802816901408451,0.619718309859155,5.08147624517403,8.2923610758136
