"x","y","sigmaNovelty","cell","EEZ"
-141.875,59.375,0.315099431395222,170,"United States Exclusive Economic Zone (Alaska)"
-141.625,59.375,0.358351779867638,170,"United States Exclusive Economic Zone (Alaska)"
-141.875,59.125,0.401206408139476,170,"United States Exclusive Economic Zone (Alaska)"
-141.625,59.125,0.462777441222806,170,"United States Exclusive Economic Zone (Alaska)"
-152.375,58.875,0.0964179134190447,114,"United States Exclusive Economic Zone (Alaska)"
-152.125,58.875,0.0924766361037001,114,"United States Exclusive Economic Zone (Alaska)"
162.875,58.875,0.553296786117217,3506,"Russian Exclusive economic Zone"
-152.125,58.625,0.0972761366766983,113,"United States Exclusive Economic Zone (Alaska)"
-137.625,58.625,0.29945761446112,198,"United States Exclusive Economic Zone (Alaska)"
162.625,58.625,0.323216135109676,3505,"Russian Exclusive economic Zone"
162.875,58.625,0.778135600669641,3505,"Russian Exclusive economic Zone"
-137.875,58.375,0.345915747849739,198,"United States Exclusive Economic Zone (Alaska)"
-137.625,58.375,0.48271181338584,198,"United States Exclusive Economic Zone (Alaska)"
-137.375,58.375,0.393060572749821,198,"United States Exclusive Economic Zone (Alaska)"
-137.125,58.375,0.363820741790465,198,"United States Exclusive Economic Zone (Alaska)"
-138.125,58.125,0.0798392075954285,197,"United States Exclusive Economic Zone (Alaska)"
-137.875,58.125,0.0917834936181743,198,"United States Exclusive Economic Zone (Alaska)"
-137.625,58.125,0.129658010895446,198,"United States Exclusive Economic Zone (Alaska)"
-137.375,58.125,0.191804447036178,198,"United States Exclusive Economic Zone (Alaska)"
-137.125,58.125,0.46484602546315,225,"United States Exclusive Economic Zone (Alaska)"
-136.875,58.125,0.290503627961432,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,58.125,0.113491132812313,225,"United States Exclusive Economic Zone (Alaska)"
-138.125,57.875,0.201814261270237,197,"United States Exclusive Economic Zone (Alaska)"
-137.875,57.875,0.197508914004331,197,"United States Exclusive Economic Zone (Alaska)"
-137.625,57.875,0.223378078229464,225,"United States Exclusive Economic Zone (Alaska)"
-137.375,57.875,0.14267546597265,225,"United States Exclusive Economic Zone (Alaska)"
-137.125,57.875,0.0892308805627547,225,"United States Exclusive Economic Zone (Alaska)"
-136.875,57.875,0.178426088117474,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,57.875,0.384975763448805,225,"United States Exclusive Economic Zone (Alaska)"
-133.875,57.875,2.10140527019984,226,"United States Exclusive Economic Zone (Alaska)"
-137.875,57.625,0.499518510144688,225,"United States Exclusive Economic Zone (Alaska)"
-137.625,57.625,0.494081301176341,225,"United States Exclusive Economic Zone (Alaska)"
-137.375,57.625,0.468699024893408,225,"United States Exclusive Economic Zone (Alaska)"
-137.125,57.625,0.333033792271086,225,"United States Exclusive Economic Zone (Alaska)"
-136.875,57.625,0.111779055337271,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,57.625,0.125187422357366,225,"United States Exclusive Economic Zone (Alaska)"
-136.375,57.625,0.286602222788774,225,"United States Exclusive Economic Zone (Alaska)"
-133.875,57.625,2.63564384487869,225,"United States Exclusive Economic Zone (Alaska)"
-137.625,57.375,0.459639188620101,225,"United States Exclusive Economic Zone (Alaska)"
-137.375,57.375,0.456096182009879,225,"United States Exclusive Economic Zone (Alaska)"
-137.125,57.375,0.51039659324695,225,"United States Exclusive Economic Zone (Alaska)"
-136.875,57.375,0.502076919939815,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,57.375,0.185301726218911,225,"United States Exclusive Economic Zone (Alaska)"
-136.375,57.375,0.176093932972687,225,"United States Exclusive Economic Zone (Alaska)"
-136.125,57.375,0.334740884376184,225,"United States Exclusive Economic Zone (Alaska)"
-134.625,57.375,0.889348936180738,225,"United States Exclusive Economic Zone (Alaska)"
-133.625,57.375,2.70042384384347,225,"United States Exclusive Economic Zone (Alaska)"
165.625,57.375,0.900293514078108,3533,"Russian Exclusive economic Zone"
165.875,57.375,1.05918501174729,3533,"Russian Exclusive economic Zone"
-137.625,57.125,0.491232659489789,225,"United States Exclusive Economic Zone (Alaska)"
-137.375,57.125,0.460135609189079,225,"United States Exclusive Economic Zone (Alaska)"
-137.125,57.125,0.467693422186026,225,"United States Exclusive Economic Zone (Alaska)"
-136.875,57.125,0.450407254293567,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,57.125,0.419401078949944,225,"United States Exclusive Economic Zone (Alaska)"
-136.375,57.125,0.408445777352247,225,"United States Exclusive Economic Zone (Alaska)"
-136.125,57.125,0.112688597436262,225,"United States Exclusive Economic Zone (Alaska)"
-135.875,57.125,0.131180818326923,225,"United States Exclusive Economic Zone (Alaska)"
-134.625,57.125,0.724233047310265,225,"United States Exclusive Economic Zone (Alaska)"
-134.375,57.125,1.21917865934413,225,"United States Exclusive Economic Zone (Alaska)"
-134.125,57.125,1.0786890681743,225,"United States Exclusive Economic Zone (Alaska)"
-133.875,57.125,1.21613401434055,225,"United States Exclusive Economic Zone (Alaska)"
-133.625,57.125,1.18616679057324,225,"United States Exclusive Economic Zone (Alaska)"
-133.375,57.125,1.3190641467019,253,"United States Exclusive Economic Zone (Alaska)"
165.625,57.125,0.736787227526639,3533,"Russian Exclusive economic Zone"
165.875,57.125,0.897163916896379,3533,"Russian Exclusive economic Zone"
-137.625,56.875,0.588484624819922,225,"United States Exclusive Economic Zone (Alaska)"
-137.375,56.875,0.541674938464291,225,"United States Exclusive Economic Zone (Alaska)"
