"Species","EEZ","p2","p4","Average","Max"
"Scophthalmus maximus","Algerian Exclusive Economic Zone",0,0,0.735404294041865,1.03847642448373
"Scophthalmus maximus","Belgian Exclusive Economic Zone",0.0714285714285714,0,0.622862278558383,2.12474854791465
"Scophthalmus maximus","Bulgarian Exclusive Economic Zone",0.75,0.178571428571429,2.85010636730799,5.28132852049023
"Scophthalmus maximus","Croatian Exclusive Economic Zone",0,0,0.532399459506942,1.30205570238529
"Scophthalmus maximus","Cypriote Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus maximus","Danish Exclusive Economic Zone",0.405017921146953,0.028673835125448,1.82211495065523,4.72695248836005
"Scophthalmus maximus","Dutch Exclusive Economic Zone",0.110204081632653,0,0.971233161232263,3.76787396699694
"Scophthalmus maximus","Estonian Exclusive Economic Zone",1,0.5,4.01254031563133,5.23339001212255
"Scophthalmus maximus","Faeroe Exclusive Economic Zone",0,0,0.125812452588883,0.422776818241938
"Scophthalmus maximus","Finnish Exclusive Economic Zone",1,0.161290322580645,3.28324530546093,4.50830107164669
"Scophthalmus maximus","French Exclusive Economic Zone",0.0758377425044092,0.0017636684303351,0.561422801298869,4.41265050718307
"Scophthalmus maximus","Georgian Exclusive Economic Zone",1,1,6.85701396771419,8.2923610758136
"Scophthalmus maximus","German Exclusive Economic Zone",0.391566265060241,0.0662650602409639,1.83964642928102,6.17906079511312
"Scophthalmus maximus","Greek Exclusive Economic Zone",0,0,1.49040795900486,1.60764548513171
"Scophthalmus maximus","Guernsey Exclusive Economic Zone",0,0,0.107864715777542,0.584816859312912
"Scophthalmus maximus","Icelandic Exclusive Economic Zone",0,0,0.118125445605428,0.616085384287323
"Scophthalmus maximus","Irish Exclusive Economic Zone",0.0145985401459854,0,0.154085526455681,2.36433174499435
"Scophthalmus maximus","Italian Exclusive Economic Zone",0.21875,0.125,1.5776131495785,8.2923610758136
"Scophthalmus maximus","Jersey Exclusive Economic Zone",0,0,1.03811064150854,1.64217586182792
"Scophthalmus maximus","Joint regime area Sweden / Norway",1,0,2.18726510117902,2.24225236477977
"Scophthalmus maximus","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.440932781454541,0.562533670787014
"Scophthalmus maximus","Latvian Exclusive Economic Zone",1,0.287671232876712,3.92224171613907,5.59062554243314
"Scophthalmus maximus","Lebanese Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus maximus","Lithuanian Exclusive Economic Zone",1,0.4,3.99495672084088,5.5099005552326
"Scophthalmus maximus","Maltese Exclusive Economic Zone",1,0,2.25966493264237,2.36488468826204
"Scophthalmus maximus","Moroccan Exclusive Economic Zone",0.142857142857143,0.142857142857143,1.19177237343788,4.55901841888285
"Scophthalmus maximus","Norwegian Exclusive Economic Zone",0.296983758700696,0.0150812064965197,1.37787143825104,4.38095491974699
"Scophthalmus maximus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.742812074590598,0.742812074590598
"Scophthalmus maximus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.544034336781511,0.566308506539209
"Scophthalmus maximus","Overlapping claim Melilla: Spain / Morocco",0,0,0.531369227367953,0.531369227367953
"Scophthalmus maximus","Overlapping claim Ukrainian Exclusive Economic Zone",0.677018633540373,0.478260869565217,3.6453538827899,7.94144448741598
"Scophthalmus maximus","Polish Exclusive Economic Zone",1,0.164179104477612,3.63705999046093,6.65578940820152
"Scophthalmus maximus","Portuguese Exclusive Economic Zone",0.157894736842105,0,1.22081528489943,2.29065152080048
"Scophthalmus maximus","Romanian Exclusive economic Zone",0.36734693877551,0.26530612244898,2.66941960205095,7.55966100476037
"Scophthalmus maximus","Russian Exclusive economic Zone",0.841463414634146,0.460975609756098,4.04982640019212,8.2923610758136
"Scophthalmus maximus","Slovenian Exclusive Economic Zone",1,1,5.44053671010867,5.44053671010867
"Scophthalmus maximus","Spanish Exclusive Economic Zone",0.0352422907488987,0.00440528634361234,0.624341699217582,4.41265050718307
"Scophthalmus maximus","Swedish Exclusive Economic Zone",0.840319361277445,0.131736526946108,3.06820339689752,5.59062554243314
"Scophthalmus maximus","Syrian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus maximus","Tunisian Exclusive Economic Zone",0.285714285714286,0.285714285714286,2.0320601257737,6.15597540960711
"Scophthalmus maximus","Turkish Exclusive Economic Zone",0.978609625668449,0.903743315508021,5.88464902065632,8.2923610758136
"Scophthalmus maximus","United Kingdom Exclusive Economic Zone",0.0207657365347177,0,0.312763196067311,3.26111905028563
