"Species","EEZ","p2","p4","Average","Max"
"Scophthalmus rhombus","Albanian Exclusive Economic Zone",0.805555555555556,0.472222222222222,3.59078660443121,5.97595193660997
"Scophthalmus rhombus","Algerian Exclusive Economic Zone",0,0,0.546264602279555,1.50735644914054
"Scophthalmus rhombus","Belgian Exclusive Economic Zone",0.0714285714285714,0,0.622891274175957,2.12462007295469
"Scophthalmus rhombus","Bulgarian Exclusive Economic Zone",0.75,0.178571428571429,2.78847913703721,4.67068567079959
"Scophthalmus rhombus","Croatian Exclusive Economic Zone",0.289855072463768,0.0144927536231884,1.62467612736127,4.21703751014018
"Scophthalmus rhombus","Cypriote Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus rhombus","Danish Exclusive Economic Zone",0.287878787878788,0.00757575757575758,1.51251212359867,4.72711366301133
"Scophthalmus rhombus","Dutch Exclusive Economic Zone",0.110204081632653,0,0.967210465501193,3.45078760224468
"Scophthalmus rhombus","Egyptian Exclusive Economic Zone",1,1,8.28052894378328,8.2923610758136
"Scophthalmus rhombus","Estonian Exclusive Economic Zone",1,0.5,4.01889860840233,4.75896109443156
"Scophthalmus rhombus","Faeroe Exclusive Economic Zone",0,0,0.1823491729335,1.30122910706888
"Scophthalmus rhombus","Finnish Exclusive Economic Zone",1,0.5,4.01889860840233,4.75896109443156
"Scophthalmus rhombus","French Exclusive Economic Zone",0.0165289256198347,0.00330578512396694,0.369003858060452,4.23172173087387
"Scophthalmus rhombus","Georgian Exclusive Economic Zone",1,0.545454545454545,4.10027497320134,5.32017323773365
"Scophthalmus rhombus","German Exclusive Economic Zone",0.234848484848485,0.0113636363636364,1.35827642705224,4.72711366301133
"Scophthalmus rhombus","Greek Exclusive Economic Zone",0.622137404580153,0.324427480916031,2.94367124467149,6.67398983449575
"Scophthalmus rhombus","Guernsey Exclusive Economic Zone",0,0,0.105863399121002,0.585487474936363
"Scophthalmus rhombus","Icelandic Exclusive Economic Zone",0,0,0.148586957411483,1.30122910706888
"Scophthalmus rhombus","Irish Exclusive Economic Zone",0,0,0.0898558909962112,1.20348184950503
"Scophthalmus rhombus","Israeli Exclusive Economic Zone",1,1,8.25094861370749,8.2923610758136
"Scophthalmus rhombus","Italian Exclusive Economic Zone",0.265734265734266,0.131468531468531,1.74942824840126,8.2923610758136
"Scophthalmus rhombus","Jersey Exclusive Economic Zone",0,0,0.987741244818413,1.64283993940484
"Scophthalmus rhombus","Joint regime area Croatia / Slovenia",1,1,4.21703751014018,4.21703751014018
"Scophthalmus rhombus","Joint regime area Italy / France",0,0,0.39511270399822,0.39511270399822
"Scophthalmus rhombus","Joint regime area Sweden / Norway",1,0,2.34143665747036,2.44167367490043
"Scophthalmus rhombus","Latvian Exclusive Economic Zone",1,0.1,3.72757125250195,4.16532723438239
"Scophthalmus rhombus","Lebanese Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus rhombus","Libyan Exclusive Economic Zone",0.974358974358974,0.705128205128205,4.90863304670484,7.90568999600589
"Scophthalmus rhombus","Lithuanian Exclusive Economic Zone",1,0.75,4.49223083536533,5.6272279932061
"Scophthalmus rhombus","Maltese Exclusive Economic Zone",0.75,0,2.20561231828765,3.1490135940602
"Scophthalmus rhombus","Monégasque Exclusive Economic Zone",0,0,0.274681440601836,0.530989883589544
"Scophthalmus rhombus","Montenegrin Exclusive economic Zone",0.538461538461538,0,2.25821151281668,3.81316107306976
"Scophthalmus rhombus","Moroccan Exclusive Economic Zone",0.168316831683168,0.0297029702970297,0.651777213574225,4.4320247159616
"Scophthalmus rhombus","Norwegian Exclusive Economic Zone",0.217228464419476,0.00561797752808989,1.14217371001109,4.75896109443156
"Scophthalmus rhombus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418296611004075,0.418296611004075
"Scophthalmus rhombus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0801604690537436,0.0928684765597265
"Scophthalmus rhombus","Overlapping claim Melilla: Spain / Morocco",0,0,0.246244844255741,0.246244844255741
"Scophthalmus rhombus","Overlapping claim Ukrainian Exclusive Economic Zone",0.734375,0.1796875,2.70485948275866,7.79722626842912
"Scophthalmus rhombus","Polish Exclusive Economic Zone",1,0.25,3.58406439423088,4.23038485899615
"Scophthalmus rhombus","Portuguese Exclusive Economic Zone",0,0,0.366129790747567,1.53255869052332
"Scophthalmus rhombus","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0848869645671931,0.124089508780144
"Scophthalmus rhombus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.715154615689113,1.28435894869437
"Scophthalmus rhombus","Romanian Exclusive economic Zone",0.566666666666667,0.433333333333333,3.39702777480402,7.33234946778629
"Scophthalmus rhombus","Russian Exclusive economic Zone",0.790393013100437,0.22707423580786,2.99737650173757,7.79722626842912
"Scophthalmus rhombus","Senegalese Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus rhombus","Slovenian Exclusive Economic Zone",1,1,4.10013469782187,4.10013469782187
"Scophthalmus rhombus","Spanish Exclusive Economic Zone",0.00957854406130268,0.00383141762452107,0.412030051639628,4.23172173087387
"Scophthalmus rhombus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.722074067151936,0.831487967048187
"Scophthalmus rhombus","Svalbard Exclusive Economic Zone",0,0,0.370647867847978,0.449288099841821
"Scophthalmus rhombus","Swedish Exclusive Economic Zone",0.505,0.04,1.90688739976781,5.6272279932061
"Scophthalmus rhombus","Syrian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Scophthalmus rhombus","Tunisian Exclusive Economic Zone",0.353846153846154,0.230769230769231,2.15028576713493,6.58467989878037
"Scophthalmus rhombus","Turkish Exclusive Economic Zone",0.878542510121457,0.251012145748988,3.40692374120432,8.2923610758136
"Scophthalmus rhombus","United Kingdom Exclusive Economic Zone",0.00529567519858782,0,0.265490829396121,3.26161888085745
