"x","y","sigmaNovelty","cell","EEZ"
152.625,41.875,0.00542886559608365,3471,NA
152.875,41.875,0.0189822068373474,3471,NA
152.625,41.625,0.00512718087988122,3471,NA
152.875,41.625,0.00432703660561562,3471,NA
-72.375,40.875,0.710919046083913,622,NA
-72.125,40.875,0.193410438877882,622,"United States Exclusive Economic Zone"
-8.875,40.875,0.0433008651832332,1000,"Portuguese Exclusive Economic Zone"
-72.375,40.625,0.528121097533028,622,"United States Exclusive Economic Zone"
-72.125,40.625,0.309540199954507,622,"United States Exclusive Economic Zone"
-8.875,40.625,0.136915410745209,1000,"Portuguese Exclusive Economic Zone"
-10.875,40.375,0.00437826342146362,999,"Portuguese Exclusive Economic Zone"
-10.625,40.375,0.0131264083185627,999,"Portuguese Exclusive Economic Zone"
-10.875,40.125,0.0105872883019086,999,"Portuguese Exclusive Economic Zone"
-10.625,40.125,0.00596981234318315,999,"Portuguese Exclusive Economic Zone"
-67.375,39.875,2.70986337878627e-05,764,"United States Exclusive Economic Zone"
-67.125,39.875,4.16164156408045e-06,764,"United States Exclusive Economic Zone"
-31.375,39.875,0.166202186904817,938,"Portuguese Exclusive Economic Zone (Azores)"
-31.125,39.875,0.153932011559323,966,"Portuguese Exclusive Economic Zone (Azores)"
127.875,39.875,0.160154709766127,3222,"North Korean Exclusive Economic Zone"
130.125,39.875,0.0347966523254011,3249,"North Korean Exclusive Economic Zone"
130.375,39.875,0.0244395475773198,3249,"North Korean Exclusive Economic Zone"
-67.375,39.625,0.000103546445218187,764,"United States Exclusive Economic Zone"
-67.125,39.625,3.61944100711502e-05,764,"United States Exclusive Economic Zone"
-31.625,39.625,0.144895270148314,938,"Portuguese Exclusive Economic Zone (Azores)"
-31.375,39.625,0.15953677220156,966,"Portuguese Exclusive Economic Zone (Azores)"
-31.125,39.625,0.185406233303008,966,"Portuguese Exclusive Economic Zone (Azores)"
-30.875,39.625,0.185688457949577,966,"Portuguese Exclusive Economic Zone (Azores)"
-28.125,39.625,0.135438989036368,967,"Portuguese Exclusive Economic Zone (Azores)"
-27.875,39.625,0.14230069887211,967,"Portuguese Exclusive Economic Zone (Azores)"
127.625,39.625,0.102075411797157,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.47929974878113,3222,"North Korean Exclusive Economic Zone"
130.125,39.625,0.0539738869863567,3249,"North Korean Exclusive Economic Zone"
130.375,39.625,0.046858244738662,3249,"North Korean Exclusive Economic Zone"
-69.375,39.375,0.00147411921539064,763,"United States Exclusive Economic Zone"
-69.125,39.375,0.000861354604559789,763,"United States Exclusive Economic Zone"
-31.625,39.375,0.155227198542455,966,"Portuguese Exclusive Economic Zone (Azores)"
-31.375,39.375,0.146644429430486,966,"Portuguese Exclusive Economic Zone (Azores)"
