"Species","EEZ","p2","p4","Average","Max"
"Siganus lineatus","Australian Exclusive Economic Zone",0.686697057604642,0.498963945296312,3.53778890142928,8.20953615160139
"Siganus lineatus","Bruneian Exclusive Economic Zone",1,1,5.18456053874428,6.83996762063259
"Siganus lineatus","Chinese Exclusive Economic Zone",0.3734335839599,0.0927318295739348,1.71503578760416,5.75123474321633
"Siganus lineatus","Christmas Island Exclusive Economic Zone",1,0,2.6969675925669,2.72085860871974
"Siganus lineatus","Cocos Islands Exclusive Economic Zone",1,0,2.44104728448882,2.69121275913358
"Siganus lineatus","East Timorian Exclusive Economic Zone",1,1,5.5903908940974,6.20100085405328
"Siganus lineatus","Guam Exclusive Economic Zone",1,1,5.95485217829123,6.03273020676608
"Siganus lineatus","Indian Exclusive Economic Zone",1,0.897058823529412,5.57401197960837,8.2923610758136
"Siganus lineatus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",1,0.974025974025974,4.59264529940432,5.92832751576101
"Siganus lineatus","Indonesian Exclusive Economic Zone",0.987137452711223,0.892559899117276,5.45784975444742,8.2923610758136
"Siganus lineatus","Japanese Exclusive Economic Zone",0.413223140495868,0.338842975206612,2.46192746284891,6.03286538323583
"Siganus lineatus","Joint regime area Australia / Papua New Guinea",1,0,3.35965819148915,3.54671394812318
"Siganus lineatus","Kiribati Exclusive Economic Zone (Gilbert Islands)",1,1,6.23481009849522,7.25948110696741
"Siganus lineatus","Malaysian Exclusive Economic Zone",0.996661101836394,0.67779632721202,4.76267713376409,8.2923610758136
"Siganus lineatus","Marshall Islands Exclusive Economic Zone",1,1,5.72796128409329,7.23646792570257
"Siganus lineatus","Micronesian Exclusive Economic Zone",1,1,6.58239495644737,7.81889105576306
"Siganus lineatus","Myanmar Exclusive Economic Zone",1,0.727272727272727,4.35094436334699,5.3907392240809
"Siganus lineatus","Nauruan Exclusive Economic Zone",1,1,7.40704437220432,7.67672808637961
"Siganus lineatus","New Caledonian Exclusive Economic Zone",0.19047619047619,0.036281179138322,0.769730910078369,4.7818214773728
"Siganus lineatus","Northern Mariana Exclusive Economic Zone",1,1,5.52709357186715,6.03273020676608
"Siganus lineatus","Oecussi Ambeno Exclusive Economic Zone",1,1,4.08997658184579,4.21053446420082
"Siganus lineatus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.0172183569740739,0.0788100356013084
"Siganus lineatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.419723166750814,0.497267345769639
"Siganus lineatus","Overlapping claim South China Sea",0.895890410958904,0.613698630136986,3.97727823795299,7.37493599164548
"Siganus lineatus","Palau Exclusive Economic Zone",1,1,6.08325544075949,6.42140430689732
"Siganus lineatus","Papua New Guinean Exclusive Economic Zone",1,0.804116865869854,5.60392337220168,7.81889105576306
"Siganus lineatus","Philippines Exclusive Economic Zone",0.991439688715953,0.936964980544747,5.75747119915237,8.2923610758136
"Siganus lineatus","Solomon Islands Exclusive Economic Zone",1,0.932806324110672,6.2256069265754,7.39238522809213
"Siganus lineatus","Sri Lankan Exclusive Economic Zone",1,0.947368421052632,5.61060387584765,8.2923610758136
"Siganus lineatus","Taiwanese Exclusive Economic Zone",0.558620689655172,0.217241379310345,2.29817361636395,5.94470341047239
"Siganus lineatus","Thailand Exclusive Economic Zone",1,0.785714285714286,4.74696956147102,7.55338001445787
"Siganus lineatus","Vanuatu Exclusive Economic Zone",0.409937888198758,0.198757763975155,1.78082218701647,6.53727106545174
"Siganus lineatus","Vietnamese Exclusive Economic Zone",0.52112676056338,0.120724346076459,2.15042362438113,7.12521694967618
"Siganus lineatus","Wake Island Exclusive Economic Zone",1,0,3.90714153362378,3.96046748037956
