"Species","EEZ","p2","p4","Average","Max"
"Siganus sutor","Bassas da India Exclusive Economic Zone",0,0,0.149279398383696,0.33717403867939
"Siganus sutor","Chagos Archipelago Exclusive Economic Zone",1,0.18,3.59872015758359,4.12322089413975
"Siganus sutor","Christmas Island Exclusive Economic Zone",0,0,0.440791081738543,0.471852872589638
"Siganus sutor","Cocos Islands Exclusive Economic Zone",0,0,0.204713084828429,0.340017138741687
"Siganus sutor","Comoran Exclusive Economic Zone",0,0,1.01416329765572,1.31117478125085
"Siganus sutor","Djiboutian Exclusive Economic Zone",1,1,8.21592933592915,8.2923610758136
"Siganus sutor","Eritrean Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Siganus sutor","Ile Europa Exclusive Economic Zone",0,0,0.149279398383696,0.33717403867939
"Siganus sutor","Indian Exclusive Economic Zone",0.919263456090652,0.661473087818697,4.24993452528467,6.5691189337534
"Siganus sutor","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.337579617834395,0,1.96446740964038,3.47579763176325
"Siganus sutor","Indonesian Exclusive Economic Zone",0.614814814814815,0.125925925925926,2.42479828742498,5.19368441999537
"Siganus sutor","Iranian Exclusive Economic Zone",1,1,7.43267623317556,8.2923610758136
"Siganus sutor","Juan de Nova Exclusive Economic Zone",0,0,1.02955963521129,1.29586584296933
"Siganus sutor","Kenyan Exclusive Economic Zone",0,0,0.223023280556366,0.776243228963372
"Siganus sutor","Madagascan Exclusive Economic Zone",0.128352490421456,0.00191570881226054,0.814354808726399,4.30245177595695
"Siganus sutor","Malaysian Exclusive Economic Zone",1,0.8,4.16256060118418,5.19368441999537
"Siganus sutor","Maldives Exclusive Economic Zone",1,0.825471698113208,4.70782337700149,5.28456642296266
"Siganus sutor","Mauritian Exclusive Economic Zone",0,0,0.431039530895408,1.7668858846086
"Siganus sutor","Mozambican Exclusive Economic Zone",0.0034965034965035,0,0.32630755544939,2.00934154418552
"Siganus sutor","Myanmar Exclusive Economic Zone",0.234042553191489,0,1.83547909837722,3.51987656956528
"Siganus sutor","Omani Exclusive Economic Zone",0.75,0.71969696969697,5.55442404153052,8.2923610758136
"Siganus sutor","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.740412122720881,1.71277768868066
"Siganus sutor","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.266335333962888,0.270151552889727
"Siganus sutor","Overlapping claim Mayotte: France / Comoros",0,0,1.04563922257264,1.31117478125085
"Siganus sutor","Overlapping claim: Kenya / Somalia",0,0,0.123771361005842,0.144877025655746
"Siganus sutor","Pakistani Exclusive Economic Zone",0.779661016949153,0.372881355932203,3.3947595687312,5.52596864299362
"Siganus sutor","Réunion Exclusive Economic Zone",0,0,0.121558112373049,0.190419883462852
"Siganus sutor","Saudi Arabian Exclusive Economic Zone",1,1,8.27165484476054,8.2923610758136
"Siganus sutor","Seychellois Exclusive Economic Zone",0.541916167664671,0,2.12896300103753,3.74292822817712
"Siganus sutor","Somali Exclusive Economic Zone",0.537735849056604,0.427672955974843,3.67112850306533,8.2923610758136
"Siganus sutor","South African Exclusive Economic Zone",0.0310077519379845,0,0.439277341103927,3.12725690893664
"Siganus sutor","Sri Lankan Exclusive Economic Zone",0.924528301886792,0.389937106918239,3.69599351745283,6.5691189337534
"Siganus sutor","Sudanese Exclusive Economic Zone",1,1,8.27165484476054,8.2923610758136
"Siganus sutor","Tanzanian Exclusive Economic Zone",0.0652173913043478,0,0.78023273608861,2.99488581281905
"Siganus sutor","Thailand Exclusive Economic Zone",0.581395348837209,0.0697674418604651,2.36989567185486,5.19368441999537
"Siganus sutor","United Arab Emirates Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Siganus sutor","Yemeni Exclusive Economic Zone",0.686746987951807,0.57429718875502,4.77472187273357,8.2923610758136
