"x","y","sigmaNovelty","cell","EEZ"
52.625,27.125,8.2923610758136,2392,"Iranian Exclusive Economic Zone"
52.875,27.125,8.2923610758136,2392,"Iranian Exclusive Economic Zone"
56.875,26.625,8.2923610758136,2447,"Iranian Exclusive Economic Zone"
56.625,26.375,8.2923610758136,2419,"Omani Exclusive Economic Zone"
56.875,26.375,8.2923610758136,2419,"Iranian Exclusive Economic Zone"
56.625,26.125,8.2923610758136,2419,"Omani Exclusive Economic Zone"
56.875,26.125,8.2923610758136,2419,"Iranian Exclusive Economic Zone"
57.125,26.125,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
56.625,25.875,8.2923610758136,2419,"Omani Exclusive Economic Zone"
56.875,25.875,8.2923610758136,2419,"Iranian Exclusive Economic Zone"
57.125,25.875,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
56.375,25.625,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
56.625,25.625,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
57.125,25.625,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
57.375,25.625,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
57.625,25.625,8.12589066470191,2446,"Iranian Exclusive Economic Zone"
57.875,25.625,7.82983822325008,2446,"Iranian Exclusive Economic Zone"
56.375,25.375,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
56.625,25.375,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
57.375,25.375,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
57.625,25.375,8.2923610758136,2446,"Iranian Exclusive Economic Zone"
57.875,25.375,8.00229182185279,2446,"Iranian Exclusive Economic Zone"
58.125,25.375,7.33601570807148,2446,"Iranian Exclusive Economic Zone"
58.375,25.375,6.60016462233168,2446,"Iranian Exclusive Economic Zone"
58.625,25.375,6.3090183543579,2446,"Iranian Exclusive Economic Zone"
58.875,25.375,6.179803195782,2446,"Iranian Exclusive Economic Zone"
59.125,25.375,5.97126676237836,2446,"Iranian Exclusive Economic Zone"
59.375,25.375,5.53268033826646,2446,"Iranian Exclusive Economic Zone"
59.625,25.375,5.36542048896792,2474,"Iranian Exclusive Economic Zone"
56.375,25.125,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
56.625,25.125,8.2923610758136,2446,"United Arab Emirates Exclusive Economic Zone"
58.625,25.125,7.09401758152744,2446,"Iranian Exclusive Economic Zone"
58.875,25.125,6.78614413271505,2446,"Iranian Exclusive Economic Zone"
59.125,25.125,6.29990882954676,2446,"Iranian Exclusive Economic Zone"
59.375,25.125,5.80042192648381,2446,"Iranian Exclusive Economic Zone"
59.625,25.125,5.67714750571359,2446,"Iranian Exclusive Economic Zone"
59.875,25.125,5.60190330657462,2474,"Iranian Exclusive Economic Zone"
60.125,25.125,5.33464673780646,2474,"Iranian Exclusive Economic Zone"
60.375,25.125,5.01899668170787,2474,"Iranian Exclusive Economic Zone"
60.625,25.125,5.22302678051464,2474,"Iranian Exclusive Economic Zone"
60.875,25.125,5.3659548002263,2474,"Iranian Exclusive Economic Zone"
61.125,25.125,5.11289910253566,2473,"Iranian Exclusive Economic Zone"
61.625,25.125,3.46727068326113,2501,"Pakistani Exclusive Economic Zone"
66.625,25.125,3.4601539969291,2556,"Pakistani Exclusive Economic Zone"
56.625,24.875,8.2923610758136,2418,"Omani Exclusive Economic Zone"
56.875,24.875,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.875,24.875,7.6248864186806,2446,"Iranian Exclusive Economic Zone"
59.125,24.875,7.01366936795794,2446,"Iranian Exclusive Economic Zone"
59.375,24.875,6.59030182346316,2446,"Iranian Exclusive Economic Zone"
59.625,24.875,6.43104953333276,2446,"Iranian Exclusive Economic Zone"
59.875,24.875,6.42208985639959,2473,"Iranian Exclusive Economic Zone"
60.125,24.875,6.01317577538939,2473,"Iranian Exclusive Economic Zone"
60.375,24.875,5.91608079024691,2473,"Iranian Exclusive Economic Zone"
60.625,24.875,5.79779261797174,2473,"Iranian Exclusive Economic Zone"
60.875,24.875,5.74739818218928,2473,"Iranian Exclusive Economic Zone"
61.125,24.875,5.3675237478633,2473,"Iranian Exclusive Economic Zone"
61.375,24.875,4.9470055248191,2473,"Iranian Exclusive Economic Zone"
61.625,24.875,4.13542067801774,2501,"Pakistani Exclusive Economic Zone"
56.625,24.625,8.2923610758136,2418,"Omani Exclusive Economic Zone"
56.875,24.625,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.125,24.625,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.375,24.625,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.625,24.625,8.2923610758136,2446,"Omani Exclusive Economic Zone"
61.125,24.625,5.5724864629409,2473,"Iranian Exclusive Economic Zone"
61.375,24.625,5.20587825398661,2473,"Iranian Exclusive Economic Zone"
67.125,24.625,1.59677028454637,2556,"Pakistani Exclusive Economic Zone"
67.375,24.625,1.69825849387325,2556,"Pakistani Exclusive Economic Zone"
56.875,24.375,8.2923610758136,2418,"Omani Exclusive Economic Zone"
57.125,24.375,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.375,24.375,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.625,24.375,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.875,24.375,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.125,24.125,8.2923610758136,2418,"Omani Exclusive Economic Zone"
57.375,24.125,8.20953615160139,2446,"Omani Exclusive Economic Zone"
57.625,24.125,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.875,24.125,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.125,24.125,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.375,24.125,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.625,24.125,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.375,23.875,8.2923610758136,2418,"Omani Exclusive Economic Zone"
57.625,23.875,8.2923610758136,2446,"Omani Exclusive Economic Zone"
57.875,23.875,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.125,23.875,8.2923610758136,2446,"Omani Exclusive Economic Zone"
58.375,23.875,8.2923610758136,2446,"Omani Exclusive Economic Zone"
