"Species","EEZ","p2","p4","Average","Max"
"Sparus aurata","Albanian Exclusive Economic Zone",0.790697674418605,0.162790697674419,2.99429831121263,4.68562065477951
"Sparus aurata","Algerian Exclusive Economic Zone",0,0,0.33974345641134,1.25811200173396
"Sparus aurata","Bulgarian Exclusive Economic Zone",0.836734693877551,0.204081632653061,3.08715227051848,4.66848821616135
"Sparus aurata","Croatian Exclusive Economic Zone",0.302013422818792,0,1.54669980664749,3.64300609649303
"Sparus aurata","Cypriote Exclusive Economic Zone",1,0.98989898989899,6.62916920777927,8.12589066470191
"Sparus aurata","Danish Exclusive Economic Zone",0,0,1.46429924087223,1.56384210799354
"Sparus aurata","Egyptian Exclusive Economic Zone",1,1,6.10804018593528,7.88646670380594
"Sparus aurata","French Exclusive Economic Zone",0.000967117988394584,0,0.190405461858941,2.58500922160168
"Sparus aurata","Georgian Exclusive Economic Zone",1,0.517857142857143,4.03290866200385,5.31868730753653
"Sparus aurata","Greek Exclusive Economic Zone",0.855231143552311,0.536496350364963,3.70628819681341,7.02348288315853
"Sparus aurata","Guernsey Exclusive Economic Zone",0,0,0.0622325582745005,0.351221854832414
"Sparus aurata","Irish Exclusive Economic Zone",0,0,0.0649554598282925,0.650326386714071
"Sparus aurata","Israeli Exclusive Economic Zone",1,1,6.83165487116844,7.59006532135327
"Sparus aurata","Italian Exclusive Economic Zone",0.311272727272727,0.152,1.6582962812918,8.2923610758136
"Sparus aurata","Jersey Exclusive Economic Zone",0,0,0.787658868665883,1.39314021288089
"Sparus aurata","Joint regime area Croatia / Slovenia",0,0,1.56249126920235,1.56249126920235
"Sparus aurata","Joint regime area Italy / France",0,0,0.39285494183831,0.39285494183831
"Sparus aurata","Lebanese Exclusive Economic Zone",1,1,7.18626888972106,8.2923610758136
"Sparus aurata","Libyan Exclusive Economic Zone",0.99644128113879,0.695729537366548,4.48579817869991,6.42279523022209
"Sparus aurata","Maltese Exclusive Economic Zone",0.921739130434783,0.173913043478261,3.19454775876003,4.58639843351904
"Sparus aurata","Mauritanian Exclusive Economic Zone",0.657657657657658,0.324324324324324,3.24172399552582,8.2923610758136
"Sparus aurata","Monégasque Exclusive Economic Zone",0,0,0.2821697069135,0.530993032176004
"Sparus aurata","Montenegrin Exclusive economic Zone",0.647058823529412,0,2.39022733132204,3.45117964472292
"Sparus aurata","Moroccan Exclusive Economic Zone",0,0,0.138041954054725,1.0472980474921
"Sparus aurata","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418241225704611,0.418241225704611
"Sparus aurata","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0811529930896359,0.0941463518175924
"Sparus aurata","Overlapping claim Melilla: Spain / Morocco",0,0,0.245890520567191,0.245890520567191
"Sparus aurata","Overlapping claim Ukrainian Exclusive Economic Zone",0.472222222222222,0.291666666666667,2.550071105957,7.79503047631873
"Sparus aurata","Overlapping claim Western Saharan Exclusive Economic Zone",0.0846153846153846,0.0192307692307692,0.786755361875281,8.2923610758136
"Sparus aurata","Palestinian Exclusive Economic Zone",1,1,7.24210296637576,7.44292931443411
"Sparus aurata","Portuguese Exclusive Economic Zone",0,0,0.143397271916546,1.53511374959277
"Sparus aurata","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.524471410174485,1.6679674959267
"Sparus aurata","Romanian Exclusive economic Zone",0.385964912280702,0.263157894736842,2.59260683369324,7.32980822682241
"Sparus aurata","Russian Exclusive economic Zone",0.733333333333333,0.225641025641026,2.87448122486078,7.79503047631873
"Sparus aurata","Senegalese Exclusive Economic Zone",1,1,6.36767802489206,8.2923610758136
"Sparus aurata","Slovenian Exclusive Economic Zone",1,0,3.08342743497656,3.08342743497656
"Sparus aurata","Spanish Exclusive Economic Zone",0,0,0.284143982510706,1.53511374959277
"Sparus aurata","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.520280168417124,1.87693379363158
"Sparus aurata","Swedish Exclusive Economic Zone",0,0,1.46429924087223,1.56384210799354
"Sparus aurata","Syrian Exclusive Economic Zone",1,1,8.00395824996384,8.2923610758136
"Sparus aurata","Tunisian Exclusive Economic Zone",0.36038961038961,0.185064935064935,1.86366779659135,5.64998724792558
"Sparus aurata","Turkish Exclusive Economic Zone",0.954038997214485,0.513927576601671,4.47551590916627,8.2923610758136
"Sparus aurata","United Kingdom Exclusive Economic Zone",0.00170068027210884,0,0.134223573565522,2.58500922160168
