"x","y","sigmaNovelty","cell","EEZ"
49.125,30.125,1.8717163304158,2366,"Iranian Exclusive Economic Zone"
49.375,30.125,1.55293152424324,2366,"Iranian Exclusive Economic Zone"
49.875,30.125,1.35874730984303,2366,"Iranian Exclusive Economic Zone"
50.125,30.125,1.58880441846656,2366,NA
48.625,29.875,3.23913295649843,2366,"Iraqi Exclusive Economic Zone"
48.875,29.875,2.62405390425372,2366,"Iranian Exclusive Economic Zone"
49.125,29.875,2.12978896742214,2366,"Iranian Exclusive Economic Zone"
49.375,29.875,1.53490151551739,2366,"Iranian Exclusive Economic Zone"
49.625,29.875,1.59061029696871,2366,"Iranian Exclusive Economic Zone"
49.875,29.875,1.84071915770533,2366,"Iranian Exclusive Economic Zone"
50.125,29.875,1.9499671678135,2366,"Iranian Exclusive Economic Zone"
48.375,29.625,3.11957943712879,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.625,2.11114596583729,2366,"Iraqi Exclusive Economic Zone"
48.875,29.625,1.45437994238631,2366,"Iranian Exclusive Economic Zone"
49.125,29.625,1.42880954901555,2366,"Iranian Exclusive Economic Zone"
49.375,29.625,1.45780661544718,2366,"Iranian Exclusive Economic Zone"
49.625,29.625,1.6322140899543,2366,"Iranian Exclusive Economic Zone"
49.875,29.625,2.01309203291987,2366,"Iranian Exclusive Economic Zone"
50.125,29.625,2.22895161168461,2366,"Iranian Exclusive Economic Zone"
50.375,29.625,2.45460890620521,2393,"Iranian Exclusive Economic Zone"
48.125,29.375,2.20728141617901,2338,"Kuwaiti Exclusive Economic Zone"
48.375,29.375,2.24035722687803,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.375,1.70757861386397,2366,"Kuwaiti Exclusive Economic Zone"
48.875,29.375,1.38991181593795,2366,"Kuwaiti Exclusive Economic Zone"
49.125,29.375,1.55652520564063,2366,"Iranian Exclusive Economic Zone"
49.375,29.375,2.53713585808858,2366,"Iranian Exclusive Economic Zone"
49.625,29.375,2.58107279792058,2365,"Iranian Exclusive Economic Zone"
49.875,29.375,2.59669931484732,2365,"Iranian Exclusive Economic Zone"
50.125,29.375,2.6517462856045,2365,"Iranian Exclusive Economic Zone"
50.375,29.375,2.61604331947666,2393,"Iranian Exclusive Economic Zone"
50.625,29.375,2.82169123444891,2393,"Iranian Exclusive Economic Zone"
48.375,29.125,1.46663898135254,2338,"Kuwaiti Exclusive Economic Zone"
48.625,29.125,1.66575435956318,2365,"Kuwaiti Exclusive Economic Zone"
48.875,29.125,1.70216716975265,2365,"Kuwaiti Exclusive Economic Zone"
49.125,29.125,2.57653156318072,2365,"Kuwaiti Exclusive Economic Zone"
49.375,29.125,2.48986806947795,2365,"Kuwaiti Exclusive Economic Zone"
49.625,29.125,2.49564752640885,2365,"Iranian Exclusive Economic Zone"
49.875,29.125,2.56768127416449,2365,"Iranian Exclusive Economic Zone"
50.125,29.125,2.61706360689629,2365,"Iranian Exclusive Economic Zone"
50.375,29.125,2.6468133355829,2365,"Iranian Exclusive Economic Zone"
50.625,29.125,2.98770894652988,2365,"Iranian Exclusive Economic Zone"
48.375,28.875,1.53960522842654,2365,"Kuwaiti Exclusive Economic Zone"
48.625,28.875,1.6684797632414,2365,"Kuwaiti Exclusive Economic Zone"
48.875,28.875,2.52804155203008,2365,"Kuwaiti Exclusive Economic Zone"
49.125,28.875,2.53537383439257,2365,"Kuwaiti Exclusive Economic Zone"
49.375,28.875,2.50994360581964,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,28.875,2.61871523375111,2365,"Iranian Exclusive Economic Zone"
49.875,28.875,2.72393309851722,2365,"Iranian Exclusive Economic Zone"
50.125,28.875,2.76750266024186,2365,"Iranian Exclusive Economic Zone"
50.375,28.875,2.71820692488053,2365,"Iranian Exclusive Economic Zone"
50.625,28.875,2.64775567193806,2365,"Iranian Exclusive Economic Zone"
48.625,28.625,2.11750849930716,2365,"Saudi Arabian Exclusive Economic Zone"
48.875,28.625,2.70602781534211,2365,"Saudi Arabian Exclusive Economic Zone"
49.125,28.625,2.52703865846766,2365,"Saudi Arabian Exclusive Economic Zone"
49.375,28.625,2.58441974891629,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,28.625,2.74613601144309,2365,"Iranian Exclusive Economic Zone"
49.875,28.625,2.86681470225711,2365,"Iranian Exclusive Economic Zone"
50.125,28.625,2.9486609168708,2365,"Iranian Exclusive Economic Zone"
50.375,28.625,3.01675719473432,2365,"Iranian Exclusive Economic Zone"
50.625,28.625,2.89417577180785,2365,"Iranian Exclusive Economic Zone"
50.875,28.625,2.86643184171241,2365,"Iranian Exclusive Economic Zone"
48.625,28.375,2.657026082308,2365,"Saudi Arabian Exclusive Economic Zone"
48.875,28.375,2.97405937304776,2365,"Saudi Arabian Exclusive Economic Zone"
49.125,28.375,2.71145155141481,2365,"Saudi Arabian Exclusive Economic Zone"
49.375,28.375,2.60648402271664,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,28.375,2.72403160298607,2365,"Saudi Arabian Exclusive Economic Zone"
49.875,28.375,2.80855383198572,2365,"Iranian Exclusive Economic Zone"
50.125,28.375,2.86530886086554,2365,"Iranian Exclusive Economic Zone"
50.375,28.375,3.04295447926233,2365,"Iranian Exclusive Economic Zone"
50.625,28.375,3.14808411153409,2365,"Iranian Exclusive Economic Zone"
50.875,28.375,2.99671172365734,2365,"Iranian Exclusive Economic Zone"
51.125,28.375,3.07422498501832,2365,"Iranian Exclusive Economic Zone"
48.625,28.125,3.30861388516185,2365,"Saudi Arabian Exclusive Economic Zone"
48.875,28.125,3.54592121932446,2365,"Saudi Arabian Exclusive Economic Zone"
49.125,28.125,3.07046292414505,2365,"Saudi Arabian Exclusive Economic Zone"
49.375,28.125,2.71134339825039,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,28.125,2.63186910179978,2365,"Saudi Arabian Exclusive Economic Zone"
49.875,28.125,2.72679076735305,2365,"Saudi Arabian Exclusive Economic Zone"
50.125,28.125,2.83529087535233,2365,"Iranian Exclusive Economic Zone"
50.375,28.125,3.08407673348811,2365,"Iranian Exclusive Economic Zone"
50.625,28.125,3.35594137163327,2365,"Iranian Exclusive Economic Zone"
50.875,28.125,3.26136736959145,2365,"Iranian Exclusive Economic Zone"
51.125,28.125,3.08193077738825,2365,"Iranian Exclusive Economic Zone"
126.875,28.125,0.058295785985501,3218,"Japanese Exclusive Economic Zone"
127.125,28.125,0.160209045380521,3218,"Japanese Exclusive Economic Zone"
128.375,28.125,0.0360902880005904,3218,"Japanese Exclusive Economic Zone"
128.625,28.125,0.0206548268919541,3218,"Japanese Exclusive Economic Zone"
48.875,27.875,3.76794478575222,2365,"Saudi Arabian Exclusive Economic Zone"
49.125,27.875,3.49992257647416,2365,"Saudi Arabian Exclusive Economic Zone"
49.375,27.875,2.99653934620301,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,27.875,2.66914031442679,2365,"Saudi Arabian Exclusive Economic Zone"
49.875,27.875,2.64215651702942,2365,"Saudi Arabian Exclusive Economic Zone"
50.125,27.875,2.87420031355528,2365,"Saudi Arabian Exclusive Economic Zone"
50.375,27.875,3.19868796891043,2365,"Iranian Exclusive Economic Zone"
50.625,27.875,3.52518888095303,2365,"Iranian Exclusive Economic Zone"
50.875,27.875,3.61334420645484,2365,"Iranian Exclusive Economic Zone"
51.125,27.875,3.33401525514892,2365,"Iranian Exclusive Economic Zone"
51.375,27.875,3.32746599149536,2392,"Iranian Exclusive Economic Zone"
126.625,27.875,0.0507166455096061,3190,"Japanese Exclusive Economic Zone"
126.875,27.875,0.106047373952579,3190,"Japanese Exclusive Economic Zone"
127.125,27.875,0.0888705572010222,3218,"Japanese Exclusive Economic Zone"
127.375,27.875,0.0592332354880285,3218,"Japanese Exclusive Economic Zone"
128.125,27.875,0.0613295962718743,3218,"Japanese Exclusive Economic Zone"
128.375,27.875,0.0183855161706339,3218,"Japanese Exclusive Economic Zone"
128.625,27.875,0.0142767277644526,3218,"Japanese Exclusive Economic Zone"
128.875,27.875,0.014084809165307,3245,"Japanese Exclusive Economic Zone"
49.125,27.625,3.89843217379254,2365,"Saudi Arabian Exclusive Economic Zone"
49.375,27.625,3.65562469421774,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,27.625,3.0342153239657,2365,"Saudi Arabian Exclusive Economic Zone"
49.875,27.625,2.63814908779546,2365,"Saudi Arabian Exclusive Economic Zone"
50.125,27.625,2.9044264625716,2365,"Saudi Arabian Exclusive Economic Zone"
50.375,27.625,3.28047955026286,2365,"Saudi Arabian Exclusive Economic Zone"
50.625,27.625,3.62283412762676,2365,"Iranian Exclusive Economic Zone"
50.875,27.625,3.73540376151819,2365,"Iranian Exclusive Economic Zone"
51.125,27.625,3.64347622958426,2392,"Iranian Exclusive Economic Zone"
51.375,27.625,3.6059275562359,2392,"Iranian Exclusive Economic Zone"
51.625,27.625,4.04146100950363,2392,"Iranian Exclusive Economic Zone"
51.875,27.625,4.32150074956515,2392,"Iranian Exclusive Economic Zone"
52.125,27.625,4.49573180156768,2392,"Iranian Exclusive Economic Zone"
52.375,27.625,4.95670742989262,2392,"Iranian Exclusive Economic Zone"
126.375,27.625,0.0509466139751567,3190,"Japanese Exclusive Economic Zone"
126.625,27.625,0.0772206937251149,3190,"Japanese Exclusive Economic Zone"
126.875,27.625,0.171424232872665,3190,"Japanese Exclusive Economic Zone"
127.125,27.625,0.069895697892539,3217,"Japanese Exclusive Economic Zone"
127.375,27.625,0.0672526627702874,3217,"Japanese Exclusive Economic Zone"
127.625,27.625,0.0651883586143871,3217,"Japanese Exclusive Economic Zone"
127.875,27.625,0.11788450894445,3217,"Japanese Exclusive Economic Zone"
128.125,27.625,0.0441141416432691,3217,"Japanese Exclusive Economic Zone"
128.375,27.625,0.0208938957072952,3217,"Japanese Exclusive Economic Zone"
128.625,27.625,0.0143370003075477,3217,"Japanese Exclusive Economic Zone"
128.875,27.625,0.0156726867311736,3245,"Japanese Exclusive Economic Zone"
49.375,27.375,3.8528939642209,2365,"Saudi Arabian Exclusive Economic Zone"
49.625,27.375,3.54088694057257,2365,"Saudi Arabian Exclusive Economic Zone"
49.875,27.375,2.7220399382712,2365,"Saudi Arabian Exclusive Economic Zone"
50.125,27.375,2.80709177648389,2365,"Saudi Arabian Exclusive Economic Zone"
50.375,27.375,3.11669683466422,2365,"Saudi Arabian Exclusive Economic Zone"
50.625,27.375,3.48768289438795,2365,"Saudi Arabian Exclusive Economic Zone"
50.875,27.375,3.68333813359205,2365,"Iranian Exclusive Economic Zone"
51.125,27.375,3.78148818167863,2392,"Iranian Exclusive Economic Zone"
51.375,27.375,3.9340076271634,2392,"Iranian Exclusive Economic Zone"
51.625,27.375,4.29895365789961,2392,"Iranian Exclusive Economic Zone"
51.875,27.375,4.6058795919343,2392,"Iranian Exclusive Economic Zone"
52.125,27.375,4.93594219439412,2392,"Iranian Exclusive Economic Zone"
52.375,27.375,5.23081230713385,2392,"Iranian Exclusive Economic Zone"
126.125,27.375,0.0430041740948491,3190,"Japanese Exclusive Economic Zone"
126.375,27.375,0.0593852020550855,3190,"Japanese Exclusive Economic Zone"
126.625,27.375,0.155539959680097,3190,"Japanese Exclusive Economic Zone"
126.875,27.375,0.0879319435019836,3217,"Japanese Exclusive Economic Zone"
127.125,27.375,0.0546707555569468,3217,"Japanese Exclusive Economic Zone"
127.375,27.375,0.0605387348291297,3217,"Japanese Exclusive Economic Zone"
