"Species","EEZ","p2","p4","Average","Max"
"Thunnus albacares","American Samoa Exclusive Economic Zone",0.580137659783677,0,2.20791249919584,3.59006199063711
"Thunnus albacares","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.000535012384137711,0.00801216595802236
"Thunnus albacares","Angolan Exclusive Economic Zone",0.0259593679458239,0.0158013544018059,0.206825985277374,8.2923610758136
"Thunnus albacares","Anguilla Exclusive Economic Zone",0,0,0.00347943261852147,0.0131131443595721
"Thunnus albacares","Antigua and Barbuda Exclusive Economic Zone",0,0,0.0194149212645354,0.0865043918238314
"Thunnus albacares","Argentinean Exclusive Economic Zone",0,0,0.0890862749751954,1.0534995931035
"Thunnus albacares","Aruban Exclusive Economic Zone",0,0,0.440210110214885,0.706307605168975
"Thunnus albacares","Ascension Exclusive Economic Zone",0,0,0.121366715333781,0.483200608519052
"Thunnus albacares","Australian Exclusive Economic Zone",0.0239043824701195,0,0.263128589844212,3.56857839435824
"Thunnus albacares","Bahamas Exclusive Economic Zone",0.0225763612217795,0,0.28709308981412,2.88296839573773
"Thunnus albacares","Bangladeshi Exclusive Economic Zone",0.0140845070422535,0,0.17396014580307,3.49702524313543
"Thunnus albacares","Barbados Exclusive Economic Zone",0,0,0.0237613845487689,0.087227235579477
"Thunnus albacares","Bassas da India Exclusive Economic Zone",0,0,0.0346070008939569,0.103469193065339
"Thunnus albacares","Belizean Exclusive Economic Zone",0.962025316455696,0.0126582278481013,2.57991940059748,4.49518289725135
"Thunnus albacares","Beninese Exclusive Economic Zone",0,0,0.0931964330131657,0.512932035729772
"Thunnus albacares","Bermudian Exclusive Economic Zone",0,0,0.0816446986482251,0.357989023340334
"Thunnus albacares","Bonaire Exclusive Economic Zone",0,0,0.365292906679889,0.507156355648236
"Thunnus albacares","Brazilian Exclusive Economic Zone",0.0121872995509942,0.00248556767158435,0.372023379098259,6.47371326410474
"Thunnus albacares","Brazilian Exclusive Economic Zone (Trindade)",0,0,0.0215933720262984,0.460503452983222
"Thunnus albacares","British Virgin Islands Exclusive Economic Zone",0,0,0.0338659081523357,0.154841922760763
"Thunnus albacares","Bruneian Exclusive Economic Zone",0.00617283950617284,0,0.493700178327487,2.29971859973545
"Thunnus albacares","Cambodian Exclusive Economic Zone",0,0,0.351173617487619,0.859902735237872
"Thunnus albacares","Cameroonian Exclusive Economic Zone",0,0,0.276724337906786,1.39283022427879
"Thunnus albacares","Canadian Exclusive Economic Zone",0.00651769087523277,0,0.0805740434707421,3.37284089464213
"Thunnus albacares","Cape Verdean Exclusive Economic Zone",0,0,0.0140888790550899,0.140057793480079
"Thunnus albacares","Cayman Islands Exclusive Economic Zone",0.793522267206478,0,2.22241657170304,3.0871643984323
"Thunnus albacares","Chagos Archipelago Exclusive Economic Zone",0.358633776091082,0,1.53699434833388,2.4886688592374
"Thunnus albacares","Chilean Exclusive Economic Zone",0,0,0.0244641810155253,1.91576017716385
"Thunnus albacares","Chilean Exclusive Economic Zone (Easter Island)",0,0,0.000192512561334815,0.000930762756912482
"Thunnus albacares","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,9.89675174041147e-05,0.000778854709547536
"Thunnus albacares","Chinese Exclusive Economic Zone",0.00485618229361225,0.00149420993649608,0.232523218525526,5.31075160834401
"Thunnus albacares","Christmas Island Exclusive Economic Zone",0,0,0.0430078430582583,0.148067518994456
"Thunnus albacares","Clipperton Exclusive Economic Zone",0,0,0.00653410467267112,0.0304023379126732
"Thunnus albacares","Cocos Islands Exclusive Economic Zone",0,0,0.102700814206777,0.449478830612375
"Thunnus albacares","Colombian Exclusive Economic Zone",0.0604026845637584,0.00111856823266219,0.800219627058908,4.32180811283636
"Thunnus albacares","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,1.91121583757607,1.91121583757607
"Thunnus albacares","Colombian Exclusive Economic Zone (Quitasueño)",0,0,1.78729509525142,1.82838120201201
"Thunnus albacares","Colombian Exclusive Economic Zone (Serrana)",0,0,1.78915204280564,1.84070441114422
"Thunnus albacares","Colombian Exclusive Economic Zone (Serranilla)",0,0,1.86247695498855,1.88671476836489
"Thunnus albacares","Comoran Exclusive Economic Zone",0,0,0.0371694586729717,0.0857177385000562
"Thunnus albacares","Congolese Exclusive Economic Zone",0.0714285714285714,0.0396825396825397,0.718345219731157,8.2923610758136
"Thunnus albacares","Cook Islands Exclusive Economic Zone",0.242657342657343,0,1.00129828995629,3.47273339881127
"Thunnus albacares","Costa Rican Exclusive Economic Zone",0,0,0.182454634125052,1.68886433968783
"Thunnus albacares","Crozet Islands Exclusive Economic Zone",0,0,0.39776402452686,0.790048195225247
"Thunnus albacares","Cuban Exclusive Economic Zone",0.212096774193548,0,1.00948398655245,3.20653129045918
"Thunnus albacares","Curaçaoan Exclusive Economic Zone",0,0,0.412386138028788,0.620525446813706
"Thunnus albacares","Democratic Republic of the Congo Exclusive Economic Zone",0.216867469879518,0.156626506024096,1.54471675753897,8.2923610758136
"Thunnus albacares","Djiboutian Exclusive Economic Zone",1,1,6.65411855854547,7.57680769046334
"Thunnus albacares","Dominican Exclusive Economic Zone",0,0,0.0141071821136184,0.0635507577106227
"Thunnus albacares","Dominican Republic Exclusive Economic Zone",0,0,0.47278868007745,1.95446526473872
"Thunnus albacares","East Timorian Exclusive Economic Zone",0,0,1.05691647630636,1.5612024592612
"Thunnus albacares","Ecuadorian Exclusive Economic Zone",0.00292397660818713,0,0.0248131056348732,2.23236225358007
"Thunnus albacares","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0792895918778278,1.07382403614399
"Thunnus albacares","El Salvador Exclusive Economic Zone",0,0,0.119084512095186,0.611112658414129
