"Species","EEZ","p2","p4","Average","Max"
"Trachinotus ovatus","Albanian Exclusive Economic Zone",0,0,0.495331205009622,1.43539396225637
"Trachinotus ovatus","Algerian Exclusive Economic Zone",0,0,0.438817528615779,1.23093380856655
"Trachinotus ovatus","Angolan Exclusive Economic Zone",0.2,0.130434782608696,1.89907823969603,8.2923610758136
"Trachinotus ovatus","Ascension Exclusive Economic Zone",1,1,6.79749374723638,6.94176770419751
"Trachinotus ovatus","Belgian Exclusive Economic Zone",0,0,0.795074497939212,1.31753593952006
"Trachinotus ovatus","Beninese Exclusive Economic Zone",1,0.2,3.7306162643988,4.55274374391249
"Trachinotus ovatus","Cameroonian Exclusive Economic Zone",0.761904761904762,0.214285714285714,2.95789194212401,4.93544133308335
"Trachinotus ovatus","Congolese Exclusive Economic Zone",0.25,0.178571428571429,2.4265794359194,8.2923610758136
"Trachinotus ovatus","Croatian Exclusive Economic Zone",0.0709219858156028,0.00709219858156028,0.790365684585245,4.10475404096425
"Trachinotus ovatus","Cypriote Exclusive Economic Zone",0.6,0,1.84768112958321,2.86436726186772
"Trachinotus ovatus","Danish Exclusive Economic Zone",0.875,0,2.82523954107849,3.63482893070511
"Trachinotus ovatus","Democratic Republic of the Congo Exclusive Economic Zone",0.826086956521739,0.652173913043478,5.6173840052979,8.2923610758136
"Trachinotus ovatus","Dutch Exclusive Economic Zone",0.166666666666667,0,1.18018023567095,2.05576120865007
"Trachinotus ovatus","Egyptian Exclusive Economic Zone",0.26,0,1.55928721979516,3.02141452437127
"Trachinotus ovatus","Equatorial Guinean Exclusive Economic Zone",0.660098522167488,0.241379310344828,3.00288290741257,7.29804054666088
"Trachinotus ovatus","French Exclusive Economic Zone",0.00449943757030371,0,0.219639904469095,2.58811492422954
"Trachinotus ovatus","Gabonese Exclusive Economic Zone",0.212962962962963,0,1.61492086816467,3.80030439455432
"Trachinotus ovatus","Gambian Exclusive Economic Zone",1,0.0952380952380952,3.03324375497135,4.24076273763489
"Trachinotus ovatus","German Exclusive Economic Zone",0.714285714285714,0.428571428571429,3.24408899351671,5.19332043811243
"Trachinotus ovatus","Ghanaian Exclusive Economic Zone",1,0.477777777777778,4.09959917872758,6.21478488192045
"Trachinotus ovatus","Greek Exclusive Economic Zone",0.0037593984962406,0,0.316621794033388,2.26477610378093
"Trachinotus ovatus","Guernsey Exclusive Economic Zone",0,0,0.0625063036814251,0.349058770261787
"Trachinotus ovatus","Guinea Bissau Exclusive Economic Zone",1,0.931297709923664,6.20063686956281,8.2923610758136
"Trachinotus ovatus","Guinean Exclusive Economic Zone",1,0.955974842767296,6.47989418829675,8.2923610758136
"Trachinotus ovatus","Irish Exclusive Economic Zone",0,0,0.155735515979942,1.44882517948727
"Trachinotus ovatus","Israeli Exclusive Economic Zone",0.571428571428571,0,2.22206191338666,3.02141452437127
"Trachinotus ovatus","Italian Exclusive Economic Zone",0.0276774969915764,0.0156438026474128,0.818502926412482,8.2923610758136
"Trachinotus ovatus","Ivory Coast Exclusive Economic Zone",1,0.545454545454545,4.87578764672213,8.2923610758136
"Trachinotus ovatus","Jersey Exclusive Economic Zone",0,0,0.788257668958192,1.39520011295641
"Trachinotus ovatus","Joint regime area Croatia / Slovenia",1,0,2.89279707946921,2.89279707946921
"Trachinotus ovatus","Joint regime area Italy / France",0,0,0.394513566666952,0.394513566666952
"Trachinotus ovatus","Joint regime area Nigeria / Sao Tome and Principe",1,1,5.53181859833713,5.69642759209891
"Trachinotus ovatus","Joint regime area Senegal / Guinea Bissau",1,0.64,4.57021050072484,6.40767233748204
"Trachinotus ovatus","Joint regime area Spain / France",0,0,0.00235191078454356,0.00318085480292045
"Trachinotus ovatus","Lebanese Exclusive Economic Zone",0.857142857142857,0,2.32371482456381,2.86436726186772
"Trachinotus ovatus","Liberian Exclusive Economic Zone",1,1,7.61203473589323,8.2923610758136
"Trachinotus ovatus","Libyan Exclusive Economic Zone",0.0160642570281124,0,1.20224208682443,2.46531767321174
"Trachinotus ovatus","Maltese Exclusive Economic Zone",0,0,0.956092466635383,1.35832009013847
"Trachinotus ovatus","Mauritanian Exclusive Economic Zone",0.577777777777778,0.222222222222222,2.67832869099739,8.2923610758136
"Trachinotus ovatus","Monégasque Exclusive Economic Zone",0,0,0.280187528810068,0.541842427868785
"Trachinotus ovatus","Montenegrin Exclusive economic Zone",0,0,0.483061940592313,0.665637324944485
"Trachinotus ovatus","Moroccan Exclusive Economic Zone",0,0,0.194176492765665,1.11096844899222
"Trachinotus ovatus","Nigerian Exclusive Economic Zone",0.9921875,0.3203125,3.49914448498427,5.56104895761934
"Trachinotus ovatus","Norwegian Exclusive Economic Zone",0.909090909090909,0,2.74373006735185,3.63482893070511
"Trachinotus ovatus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.41721006990093,0.41721006990093
"Trachinotus ovatus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0849234647552237,0.101045746675233
"Trachinotus ovatus","Overlapping claim Melilla: Spain / Morocco",0,0,0.247856639083998,0.247856639083998
"Trachinotus ovatus","Overlapping claim Western Saharan Exclusive Economic Zone",0.145251396648045,0.0446927374301676,1.12874991928252,8.2923610758136
"Trachinotus ovatus","Portuguese Exclusive Economic Zone",0,0,0.196115770935675,1.5309707302558
"Trachinotus ovatus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.458597838611097,1.05144555155489
"Trachinotus ovatus","Sao Tome and Principe Exclusive Economic Zone",0.729166666666667,0.375,3.43191325073748,5.69642759209891
"Trachinotus ovatus","Senegalese Exclusive Economic Zone",0.940677966101695,0.593220338983051,5.01441179344833,8.2923610758136
"Trachinotus ovatus","Sierra Leonian Exclusive Economic Zone",1,1,7.05059148248152,8.2923610758136
"Trachinotus ovatus","Slovenian Exclusive Economic Zone",1,1,4.10328510920124,4.10328510920124
"Trachinotus ovatus","Spanish Exclusive Economic Zone",0.00418994413407821,0,0.303907470266229,2.49450924529438
"Trachinotus ovatus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.463974812763809,1.50644885091028
"Trachinotus ovatus","Swedish Exclusive Economic Zone",1,0.5,5.5908828623437,8.2923610758136
"Trachinotus ovatus","Syrian Exclusive Economic Zone",1,0,2.48784620452272,3.17548104150546
"Trachinotus ovatus","Togolese Exclusive Economic Zone",1,0.4,4.08668497316743,5.55184510668731
"Trachinotus ovatus","Tunisian Exclusive Economic Zone",0.0421455938697318,0,0.870876820804971,3.11959680613155
"Trachinotus ovatus","Turkish Exclusive Economic Zone",0.226666666666667,0,0.802806021038944,3.17548104150546
"Trachinotus ovatus","United Kingdom Exclusive Economic Zone",0.00248138957816377,0,0.176645630389483,3.26323418030381
