"x","y","sigmaNovelty","cell","EEZ"
129.875,31.125,0.272764653744958,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.252091863271572,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.217147936979774,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.159236373676694,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.017370569484785,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.244804692671365,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.241810484239262,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.226533931347172,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.243811599510153,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.267641295805063,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.258708837758544,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.361377894299251,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.318769048925061,3246,"Japanese Exclusive Economic Zone"
140.125,30.875,0.299815859666969,3356,"Japanese Exclusive Economic Zone"
140.375,30.875,0.310539926159818,3356,"Japanese Exclusive Economic Zone"
129.375,30.625,0.0294575351314914,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.0110552345267704,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.174860871646313,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.249742455256654,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.210531581708206,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.185974317545213,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.221997518820701,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.29876270211076,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.333345529042169,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.394676225738307,3246,"Japanese Exclusive Economic Zone"
140.125,30.625,0.330711726272789,3356,"Japanese Exclusive Economic Zone"
140.375,30.625,0.292196641003794,3356,"Japanese Exclusive Economic Zone"
129.375,30.375,0.460830729833275,3246,"Japanese Exclusive Economic Zone"
129.625,30.375,0.485879974226976,3246,"Japanese Exclusive Economic Zone"
129.875,30.375,0.159382332105207,3246,"Japanese Exclusive Economic Zone"
130.125,30.375,0.010944753147732,3246,"Japanese Exclusive Economic Zone"
130.375,30.375,0.144595295941347,3246,"Japanese Exclusive Economic Zone"
131.125,30.375,0.208869998235067,3246,"Japanese Exclusive Economic Zone"
131.375,30.375,0.309762505697113,3246,"Japanese Exclusive Economic Zone"
