"x","y","sigmaNovelty","cell","EEZ"
-10.375,49.875,0.00253928664891542,863,"Irish Exclusive Economic Zone"
-10.125,49.875,0.010086416323958,863,"Irish Exclusive Economic Zone"
-10.375,49.625,0.0167353061692448,863,"Irish Exclusive Economic Zone"
-10.125,49.625,0.0184859356837875,863,"Irish Exclusive Economic Zone"
-5.125,49.125,0.942920576778719,892,"French Exclusive Economic Zone"
-4.875,49.125,0.855756435408944,892,"French Exclusive Economic Zone"
-4.625,49.125,0.817755841311822,892,"French Exclusive Economic Zone"
-4.375,49.125,0.663627440271343,892,"French Exclusive Economic Zone"
-5.375,48.875,1.20061684374593,891,"French Exclusive Economic Zone"
-5.125,48.875,1.21959648985449,891,"French Exclusive Economic Zone"
-4.875,48.875,1.27379558327432,892,"French Exclusive Economic Zone"
-4.625,48.875,1.23137305403276,892,"French Exclusive Economic Zone"
-4.375,48.875,0.925095780912572,892,"French Exclusive Economic Zone"
-4.125,48.875,0.613723177071642,892,"French Exclusive Economic Zone"
-5.625,48.625,0.779308539098269,891,"French Exclusive Economic Zone"
-5.375,48.625,0.776330873799127,891,"French Exclusive Economic Zone"
-5.125,48.625,0.837426762481403,891,"French Exclusive Economic Zone"
-4.875,48.625,0.911018862438771,892,"French Exclusive Economic Zone"
-4.625,48.625,1.02228510745907,892,"French Exclusive Economic Zone"
-6.875,48.375,0.976245397823156,891,"French Exclusive Economic Zone"
-6.625,48.375,0.97018360636218,891,"French Exclusive Economic Zone"
-5.625,48.375,0.703475098608039,891,"French Exclusive Economic Zone"
-5.375,48.375,0.733512667783253,891,"French Exclusive Economic Zone"
-5.125,48.375,0.847742810268275,891,"French Exclusive Economic Zone"
-4.875,48.375,1.0217045539082,892,"French Exclusive Economic Zone"
-6.875,48.125,0.770101512691315,891,"French Exclusive Economic Zone"
-6.625,48.125,0.776606822745361,891,"French Exclusive Economic Zone"
-5.375,48.125,0.688741256853119,891,"French Exclusive Economic Zone"
-5.125,48.125,0.883170045474927,891,"French Exclusive Economic Zone"
-4.875,48.125,0.861022450623247,891,"French Exclusive Economic Zone"
-4.625,48.125,0.759695612089676,892,"French Exclusive Economic Zone"
-4.375,48.125,0.700744182716983,892,"French Exclusive Economic Zone"
-5.125,47.875,0.69899370034793,891,"French Exclusive Economic Zone"
-4.875,47.875,0.83949242454687,891,"French Exclusive Economic Zone"
-4.625,47.875,0.909552348719908,892,"French Exclusive Economic Zone"
-4.375,47.875,0.933940995303212,892,"French Exclusive Economic Zone"
-4.875,47.625,0.685666213219638,919,"French Exclusive Economic Zone"
-4.625,47.625,0.688154375659318,919,"French Exclusive Economic Zone"
-4.375,47.625,0.748105230391886,919,"French Exclusive Economic Zone"
-4.125,47.625,0.899576851475859,919,"French Exclusive Economic Zone"
-3.875,47.625,0.742930688687499,892,"French Exclusive Economic Zone"
-3.625,47.625,0.707335006768895,892,"French Exclusive Economic Zone"
-3.375,47.625,0.502090751854185,892,"French Exclusive Economic Zone"
-4.625,47.375,0.980205652266649,919,"French Exclusive Economic Zone"
-4.375,47.375,0.987213829277187,919,"French Exclusive Economic Zone"
-4.125,47.375,0.899303431800169,919,"French Exclusive Economic Zone"
-3.875,47.375,0.86051240634438,919,"French Exclusive Economic Zone"
-3.625,47.375,0.826042926541868,919,"French Exclusive Economic Zone"
-3.375,47.375,0.578928537057508,919,"French Exclusive Economic Zone"
-3.125,47.375,0.558161400444686,892,"French Exclusive Economic Zone"
-2.875,47.375,0.615521811627898,892,"French Exclusive Economic Zone"
-2.625,47.375,0.239067095960851,892,"French Exclusive Economic Zone"
-3.375,47.125,0.223592729024266,919,"French Exclusive Economic Zone"
-3.125,47.125,0.597068886221444,919,"French Exclusive Economic Zone"
-2.875,47.125,0.145979676968046,919,"French Exclusive Economic Zone"
-2.625,47.125,0.48249304515471,919,"French Exclusive Economic Zone"
-2.375,47.125,1.9374872719956,1481,"French Exclusive Economic Zone"
-4.875,46.875,0.926347284673254,919,"French Exclusive Economic Zone"
-4.625,46.875,0.694912185791031,919,"French Exclusive Economic Zone"
-3.125,46.875,0.0274675721373943,919,"French Exclusive Economic Zone"
-2.875,46.875,0.19542553174477,919,"French Exclusive Economic Zone"
-2.625,46.875,0.209398072904377,919,"French Exclusive Economic Zone"
-2.375,46.875,1.07851538680129,1481,"French Exclusive Economic Zone"
-4.875,46.625,0.663126363324466,919,"French Exclusive Economic Zone"
-4.625,46.625,0.345322267499199,919,"French Exclusive Economic Zone"
-2.875,46.625,0.172950908584721,919,"French Exclusive Economic Zone"
-2.625,46.625,0.250327150988146,919,"French Exclusive Economic Zone"
-2.375,46.625,0.210862159211159,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.462324417992467,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.419677700414091,1481,"French Exclusive Economic Zone"
-3.875,46.375,0.0183676662006791,919,"French Exclusive Economic Zone"
