"Species","EEZ","p2","p4","Average","Max"
"Venus verrucosa","Albanian Exclusive Economic Zone",0.805555555555556,0.472222222222222,3.56088277730108,5.9763362839098
"Venus verrucosa","Algerian Exclusive Economic Zone",0,0,0.511104852237851,1.50831591495952
"Venus verrucosa","Angolan Exclusive Economic Zone",1,1,7.66680221963939,8.2923610758136
"Venus verrucosa","Belgian Exclusive Economic Zone",0.0714285714285714,0,0.624149011995598,2.12710485631703
"Venus verrucosa","Cape Verdean Exclusive Economic Zone",1,1,8.28632175842312,8.2923610758136
"Venus verrucosa","Croatian Exclusive Economic Zone",0.285714285714286,0.0150375939849624,1.6298555339952,4.21844333153046
"Venus verrucosa","Cypriote Exclusive Economic Zone",1,1,8.28315830645668,8.2923610758136
"Venus verrucosa","Danish Exclusive Economic Zone",0.00809716599190283,0,0.793718508156952,2.15302713714476
"Venus verrucosa","Dutch Exclusive Economic Zone",0.00930232558139535,0,0.764952804831036,2.21578970569954
"Venus verrucosa","Egyptian Exclusive Economic Zone",1,1,8.27658489977317,8.2923610758136
"Venus verrucosa","Faeroe Exclusive Economic Zone",0,0,0.0826344201516577,0.39438773967816
"Venus verrucosa","French Exclusive Economic Zone",0.008274231678487,0.00236406619385343,0.282985026205232,4.09454181131566
"Venus verrucosa","German Exclusive Economic Zone",0.0166666666666667,0,0.807422770883024,2.21578970569954
"Venus verrucosa","Greek Exclusive Economic Zone",0.575510204081633,0.297959183673469,2.78933231117935,6.59981676833533
"Venus verrucosa","Greenlandic Exclusive Economic Zone",0,0,0.167135383085781,0.897118871387592
"Venus verrucosa","Guernsey Exclusive Economic Zone",0,0,0.0974012966298057,0.584929537370592
"Venus verrucosa","Icelandic Exclusive Economic Zone",0,0,0.133506025203654,0.897118871387592
"Venus verrucosa","Irish Exclusive Economic Zone",0,0,0.127205556225901,1.44833258891903
"Venus verrucosa","Israeli Exclusive Economic Zone",1,1,8.26751359854993,8.2923610758136
"Venus verrucosa","Italian Exclusive Economic Zone",0.277493606138107,0.135549872122762,1.76319079666393,8.2923610758136
"Venus verrucosa","Jersey Exclusive Economic Zone",0,0,0.944749916861157,1.53405302798543
"Venus verrucosa","Joint regime area Croatia / Slovenia",1,1,4.21844333153046,4.21844333153046
"Venus verrucosa","Joint regime area Italy / France",0,0,0.396620421648643,0.396620421648643
"Venus verrucosa","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.0851282920383279,0.0851282920383279
"Venus verrucosa","Lebanese Exclusive Economic Zone",1,1,8.28315830645668,8.2923610758136
"Venus verrucosa","Libyan Exclusive Economic Zone",0.981651376146789,0.688073394495413,4.80594331576408,8.2923610758136
"Venus verrucosa","Maltese Exclusive Economic Zone",0.848484848484849,0.0909090909090909,2.7121869333614,4.40161944326453
"Venus verrucosa","Monégasque Exclusive Economic Zone",0,0,0.274880147308314,0.531223155625068
"Venus verrucosa","Montenegrin Exclusive economic Zone",0.538461538461538,0,2.25877124598977,3.81365277184348
"Venus verrucosa","Moroccan Exclusive Economic Zone",0,0,0.157231340506472,1.72876051251065
"Venus verrucosa","Namibian Exclusive Economic Zone",0,0,0.680674478747161,1.52112551146316
"Venus verrucosa","Norwegian Exclusive Economic Zone",0,0,0.46204363047309,1.92044896005391
"Venus verrucosa","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418144317210332,0.418144317210332
"Venus verrucosa","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0834526494316165,0.099616408145569
"Venus verrucosa","Overlapping claim Melilla: Spain / Morocco",0,0,0.247096024394634,0.247096024394634
"Venus verrucosa","Overlapping claim Western Saharan Exclusive Economic Zone",0.0645161290322581,0.0241935483870968,0.930016326216545,5.74694117592458
"Venus verrucosa","Portuguese Exclusive Economic Zone",0,0,0.208818540106753,1.4327572953864
"Venus verrucosa","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0665571945539516,0.124440819213451
"Venus verrucosa","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.963553592087721,1.72876051251065
"Venus verrucosa","Slovenian Exclusive Economic Zone",1,1,4.10080210533729,4.10080210533729
"Venus verrucosa","South African Exclusive Economic Zone",0.213973799126638,0.152838427947598,1.56907930889052,8.2923610758136
"Venus verrucosa","Spanish Exclusive Economic Zone",0.00796178343949045,0.00318471337579618,0.347733009646697,4.09454181131566
"Venus verrucosa","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.546083402814315,1.97990076984305
"Venus verrucosa","Swedish Exclusive Economic Zone",0,0,0.208519882164681,0.224431019792294
"Venus verrucosa","Syrian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Venus verrucosa","Tristan Da Cunha Exclusive Economic Zone",0,0,0.0984353830203138,0.657498920480614
"Venus verrucosa","Tunisian Exclusive Economic Zone",0.369047619047619,0.238095238095238,2.13112196479887,6.76050783500411
"Venus verrucosa","Turkish Exclusive Economic Zone",0.610169491525424,0.491525423728814,3.66860354717366,8.2923610758136
"Venus verrucosa","United Kingdom Exclusive Economic Zone",0.00120554550934298,0,0.231146008543403,2.58960759451544
